Codice;Regione;Zona;Nome;Comune;Latitudine;Longitudine;Esposizione;Lunghezza;Fondo;Affollamento;Accesso;Come si arriva;Parcheggio;Bandiera Blu;Servizi rilevati;Etichette;Descrizione;Google Place ID;File immagine;Fonte immagine;Comune notizie;Aff. ristorante;Aff. albergo;Aff. ombrellone;Aff. attività;Stato;Priorità;Note;Sponsor;Sponsor fino al
algarve-001;algarve;vicentina;Bordeira;Aljezur;37.19851;-8.90459;;;;;nc;;;no;4;Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1600 persone.;;spiagge/algarve/algarve-001.jpg;DGT OrtoSat · 30 cm;Aljezur;;;;;;;;;
algarve-002;algarve;vicentina;Amado;Aljezur;37.16698;-8.90345;;;;;nc;;;no;5;Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1300 persone.;;spiagge/algarve/algarve-002.jpg;DGT OrtoSat · 30 cm;Aljezur;;;;;;;;;
algarve-003;algarve;vicentina;Vale Figueiras;Aljezur;37.2477;-8.86956;;;;;nc;;;no;1;Surf;Spiaggia non sorvegliata. Ci sono parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 700 persone.;;spiagge/algarve/algarve-003.jpg;DGT OrtoSat · 30 cm;Aljezur;;;;;;;;;
algarve-004;algarve;vicentina;Arrifana;Aljezur;37.29455;-8.86632;;;;;nc;;;sì;4;Bandiera Blu, Surf;Spiaggia sorvegliata nella stagione balneare. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 200 persone.;;spiagge/algarve/algarve-004.jpg;DGT OrtoSat · 30 cm;Aljezur;;;;;;;;;
algarve-005;algarve;vicentina;Monte Clerigo;Aljezur;37.34241;-8.85382;;;;;nc;;;sì;4;Bandiera Blu, Surf, Accessibile;Spiaggia sorvegliata nella stagione balneare. Ci sono bagni, docce, parcheggio. Rientra nel programma Praia Acessível. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1900 persone.;;spiagge/algarve/algarve-005.jpg;DGT OrtoSat · 30 cm;Aljezur;;;;;;;;;
algarve-006;algarve;vicentina;Amoreira - Mar;Aljezur;37.35213;-8.84501;;;;;nc;;;sì;6;Bandiera Blu, Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, docce, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 700 persone.;;spiagge/algarve/algarve-006.jpg;DGT OrtoSat · 30 cm;Aljezur;;;;;;;;;
algarve-007;algarve;vicentina;Amoreira - Rio;Aljezur;37.34395;-8.84021;;;;;nc;;;no;0;Laguna;Spiaggia non sorvegliata.;;spiagge/algarve/algarve-007.jpg;DGT OrtoSat · 30 cm;Aljezur;;;;;;;;;
algarve-008;algarve;vicentina;Vale dos Homens;Aljezur;37.38351;-8.82577;;;;;nc;;;no;1;Surf;Spiaggia non sorvegliata. Ci sono parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 300 persone.;;spiagge/algarve/algarve-008.jpg;DGT OrtoSat · 30 cm;Aljezur;;;;;;;;;
algarve-009;algarve;vicentina;Odeceixe - Mar;Aljezur;37.44193;-8.79957;;;;;nc;;;sì;5;Bandiera Blu, Surf;Spiaggia sorvegliata nella stagione balneare. C'è uno stabilimento con servizio di ristoro. Ci sono bagni, parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 1200 persone.;;spiagge/algarve/algarve-009.jpg;DGT OrtoSat · 30 cm;Aljezur;;;;;;;;;
algarve-010;algarve;sagres;Beliche;Vila do Bispo;37.02529;-8.96411;;;;;nc;;;no;2;Surf;Spiaggia sorvegliata nella stagione balneare. Ci sono parcheggio. Onde di valore riconosciuto per il surf. Capacità di carico stimata in 400 persone.;;spiagge/algarve/algarve-010.jpg;DGT OrtoSat · 30 cm;Vila do Bispo;;;;;;;;;
